"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2021","1,917.68","1,902.89","1,918.25","1,893.71","1.62B","1.27%"
"Mar 08, 2021","1,893.58","1,916.33","1,919.62","1,885.49","1.51B","-0.14%"
"Mar 05, 2021","1,896.18","1,876.85","1,896.18","1,859.88","1.43B","0.61%"
"Mar 04, 2021","1,884.74","1,889.50","1,894.02","1,865.47","1.29B","-1.04%"
"Mar 03, 2021","1,904.54","1,899.55","1,905.41","1,890.86","1.21B","0.51%"
"Mar 02, 2021","1,894.85","1,915.17","1,915.17","1,883.31","1.29B","-0.40%"
"Mar 01, 2021","1,902.48","1,888.61","1,903.97","1,887.28","1.25B","2.04%"
"Feb 26, 2021","1,864.49","1,903.84","1,903.84","1,864.49","1.69B","-3.21%"
"Feb 25, 2021","1,926.23","1,927.11","1,931.27","1,922.45","1.46B","1.22%"
"Feb 24, 2021","1,903.07","1,934.48","1,934.51","1,903.07","1.57B","-1.82%"
"Feb 22, 2021","1,938.35","1,947.35","1,952.86","1,936.23","1.25B","0.49%"
"Feb 19, 2021","1,928.95","1,927.45","1,934.98","1,921.88","1.22B","-0.67%"
"Feb 18, 2021","1,941.91","1,962.03","1,967.26","1,937.63","1.58B","-1.00%"
"Feb 17, 2021","1,961.49","1,963.54","1,967.74","1,954.68","1.37B","-0.18%"
"Feb 16, 2021","1,965.08","1,959.80","1,974.99","1,955.76","1.41B","0.57%"
"Feb 15, 2021","1,953.94","1,945.77","1,956.60","1,942.54","1.28B","1.04%"
"Feb 12, 2021","1,933.88","1,936.64","1,937.74","1,927.62","1.34B","0.16%"
"Feb 10, 2021","1,930.82","1,921.26","1,934.75","1,919.14","1.32B","0.27%"
"Feb 09, 2021","1,925.54","1,926.54","1,931.29","1,915.95","1.47B","0.08%"
"Feb 08, 2021","1,923.95","1,898.37","1,924.42","1,898.32","1.59B","1.75%"
"Feb 05, 2021","1,890.95","1,880.70","1,892.05","1,876.26","1.54B","1.38%"
"Feb 04, 2021","1,865.12","1,870.12","1,877.34","1,861.64","1.34B","-0.32%"
"Feb 03, 2021","1,871.09","1,858.50","1,871.09","1,857.41","1.37B","1.30%"
"Feb 02, 2021","1,847.02","1,837.69","1,847.98","1,831.06","1.17B","0.94%"
"Feb 01, 2021","1,829.84","1,806.63","1,832.68","1,806.63","1.15B","1.16%"
"Jan 29, 2021","1,808.78","1,844.92","1,846.07","1,808.26","1.58B","-1.64%"
"Jan 28, 2021","1,838.85","1,829.27","1,846.34","1,820.79","2.14B","-1.14%"
"Jan 27, 2021","1,860.07","1,856.93","1,862.05","1,851.33","1.16B","0.65%"
"Jan 26, 2021","1,848.00","1,853.64","1,858.44","1,847.85","1.07B","-0.75%"
"Jan 25, 2021","1,862.00","1,862.88","1,863.22","1,854.02","1.02B","0.29%"
"Jan 22, 2021","1,856.64","1,848.79","1,859.38","1,848.40","1.22B","-0.21%"
"Jan 21, 2021","1,860.64","1,858.10","1,869.81","1,856.14","1.14B","0.60%"
"Jan 20, 2021","1,849.58","1,860.67","1,860.95","1,840.50","1.15B","-0.34%"
"Jan 19, 2021","1,855.84","1,850.45","1,860.69","1,848.15","1.01B","0.56%"
"Jan 18, 2021","1,845.49","1,844.09","1,851.97","1,839.68","908.54M","-0.60%"
"Jan 15, 2021","1,856.61","1,875.31","1,876.58","1,855.01","1.25B","-0.89%"
"Jan 14, 2021","1,873.28","1,860.32","1,885.93","1,859.28","1.41B","0.48%"
"Jan 13, 2021","1,864.40","1,852.93","1,867.23","1,852.15","1.24B","0.35%"
"Jan 12, 2021","1,857.94","1,847.64","1,860.71","1,842.16","133.55K","0.16%"
"Jan 08, 2021","1,854.94","1,832.68","1,854.94","1,829.05","1.39B","1.57%"
"Jan 07, 2021","1,826.30","1,816.26","1,837.50","1,816.26","1.51B","1.68%"
"Jan 06, 2021","1,796.18","1,790.86","1,802.98","1,789.68","1.18B","0.28%"
"Jan 05, 2021","1,791.22","1,788.63","1,797.12","1,784.80","989.53M","-0.19%"
"Jan 04, 2021","1,794.59","1,810.45","1,811.68","1,776.60","956.48M","-0.56%"
"Dec 30, 2020","1,804.68","1,812.31","1,816.14","1,801.17","878.19M","-0.80%"
"Dec 29, 2020","1,819.18","1,793.83","1,819.46","1,792.83","1.02B","1.74%"
"Dec 28, 2020","1,788.04","1,781.99","1,788.04","1,779.36","1.01B","0.54%"
"Dec 25, 2020","1,778.41","1,777.26","1,780.10","1,775.16","694.80M","0.23%"
"Dec 24, 2020","1,774.27","1,774.23","1,783.21","1,770.81","878.40M","0.51%"
"Dec 23, 2020","1,765.21","1,769.15","1,769.18","1,757.52","99.10K","0.23%"
