"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2021","15,208.45","15,291.75","15,293.85","15,163.40","417.32B","0.07%"
"May 24, 2021","15,197.70","15,211.35","15,256.25","15,145.45","566.72B","0.15%"
"May 21, 2021","15,175.30","14,987.80","15,190.00","14,985.85","557.73B","1.81%"
"May 20, 2021","14,906.05","15,042.60","15,069.80","14,884.90","467.46B","-0.83%"
"May 19, 2021","15,030.15","15,058.60","15,133.40","15,008.85","563.29B","-0.52%"
"May 18, 2021","15,108.10","15,067.20","15,137.25","15,043.70","571.92B","1.24%"
"May 17, 2021","14,923.15","14,756.25","14,938.00","14,725.35","534.52B","1.67%"
"May 14, 2021","14,677.80","14,749.40","14,749.65","14,591.90","602.74B","-0.13%"
"May 12, 2021","14,696.50","14,823.55","14,824.05","14,649.70","620.32B","-1.04%"
"May 11, 2021","14,850.75","14,789.70","14,900.00","14,771.40","616.20B","-0.61%"
"May 10, 2021","14,942.35","14,928.25","14,966.90","14,892.50","510.60B","0.80%"
"May 07, 2021","14,823.15","14,816.85","14,863.05","14,765.50","483.68B","0.67%"
"May 06, 2021","14,724.80","14,668.35","14,743.90","14,611.50","445.28B","0.73%"
"May 05, 2021","14,617.85","14,604.15","14,637.90","14,506.60","437.26B","0.84%"
"May 04, 2021","14,496.50","14,687.25","14,723.40","14,461.50","479.66B","-0.94%"
"May 03, 2021","14,634.15","14,481.05","14,673.85","14,416.25","443.41B","0.02%"
"Apr 30, 2021","14,631.10","14,747.35","14,855.45","14,601.70","594.74B","-1.77%"
"Apr 29, 2021","14,894.90","14,979.00","15,044.35","14,814.45","511.47B","0.20%"
"Apr 28, 2021","14,864.55","14,710.50","14,890.25","14,694.95","453.99B","1.44%"
"Apr 27, 2021","14,653.05","14,493.80","14,667.55","14,484.85","442.21B","1.16%"
"Apr 26, 2021","14,485.00","14,449.45","14,557.50","14,421.30","448.53B","1.00%"
"Apr 23, 2021","14,341.35","14,326.35","14,461.15","14,273.30","476.61B","-0.45%"
"Apr 22, 2021","14,406.15","14,219.15","14,424.75","14,151.40","516.99B","0.77%"
"Apr 20, 2021","14,296.40","14,526.70","14,526.95","14,207.30","456.70B","-0.44%"
"Apr 19, 2021","14,359.45","14,306.60","14,382.30","14,191.40","503.14B","-1.77%"
"Apr 16, 2021","14,617.85","14,599.60","14,697.70","14,559.00","568.57B","0.25%"
"Apr 15, 2021","14,581.45","14,522.40","14,597.55","14,353.20","556.85B","0.53%"
"Apr 13, 2021","14,504.80","14,364.90","14,528.90","14,274.90","588.67B","1.36%"
"Apr 12, 2021","14,310.80","14,644.65","14,652.50","14,248.70","638.48B","-3.53%"
"Apr 09, 2021","14,834.85","14,882.65","14,918.45","14,785.65","498.35B","-0.26%"
"Apr 08, 2021","14,873.80","14,875.65","14,984.15","14,821.10","503.73B","0.37%"
"Apr 07, 2021","14,819.05","14,716.45","14,879.80","14,649.85","476.38B","0.92%"
"Apr 06, 2021","14,683.50","14,737.00","14,779.10","14,573.90","474.21B","0.31%"
"Apr 05, 2021","14,637.80","14,837.70","14,849.85","14,459.50","500.48B","-1.54%"
"Apr 01, 2021","14,867.35","14,798.40","14,883.20","14,692.45","430.03B","1.20%"
"Mar 31, 2021","14,690.70","14,811.85","14,813.75","14,670.25","436.87B","-1.04%"
"Mar 30, 2021","14,845.10","14,628.50","14,876.30","14,617.60","594.52B","2.33%"
"Mar 26, 2021","14,507.30","14,506.30","14,572.90","14,414.25","481.00B","1.27%"
"Mar 25, 2021","14,324.90","14,570.90","14,575.60","14,264.40","606.82B","-1.54%"
"Mar 24, 2021","14,549.40","14,712.45","14,752.35","14,535.00","456.40B","-1.79%"
"Mar 23, 2021","14,814.75","14,768.55","14,878.60","14,707.00","474.15B","0.53%"
"Mar 22, 2021","14,736.40","14,736.30","14,763.90","14,597.85","459.00B","-0.05%"
"Mar 19, 2021","14,744.00","14,471.15","14,788.25","14,350.10","919.18B","1.28%"
"Mar 18, 2021","14,557.85","14,855.50","14,875.20","14,478.60","542.22B","-1.11%"
"Mar 17, 2021","14,721.30","14,946.55","14,956.55","14,696.05","479.35B","-1.27%"
"Mar 16, 2021","14,910.45","14,996.10","15,051.60","14,890.65","437.65B","-0.13%"
"Mar 15, 2021","14,929.50","15,048.40","15,048.40","14,745.85","467.47B","-0.67%"
"Mar 12, 2021","15,030.95","15,321.15","15,336.30","14,953.60","493.24B","-0.95%"
"Mar 10, 2021","15,174.80","15,202.15","15,218.45","15,100.85","404.59B","0.51%"
"Mar 09, 2021","15,098.40","15,049.90","15,126.85","14,925.45","675.27B","0.95%"
"Mar 08, 2021","14,956.20","15,002.45","15,111.15","14,919.90","580.31B","0.12%"
"Mar 05, 2021","14,938.10","14,977.95","15,092.35","14,862.10","640.70B","-0.95%"
"Mar 04, 2021","15,080.75","15,026.75","15,202.35","14,980.20","534.85B","-1.08%"
"Mar 03, 2021","15,245.60","15,064.40","15,273.15","14,995.80","544.21B","2.19%"
"Mar 02, 2021","14,919.10","14,865.30","14,959.10","14,760.80","621.72B","1.07%"
"Mar 01, 2021","14,761.55","14,702.50","14,806.80","14,638.55","507.30B","1.60%"
"Feb 26, 2021","14,529.15","14,888.60","14,919.45","14,467.75","1,103.64B","-3.76%"
"Feb 25, 2021","15,097.35","15,079.85","15,176.50","15,065.35","803.88B","0.77%"
"Feb 24, 2021","14,982.00","14,729.15","15,008.80","14,723.05","403.75B","1.86%"
"Feb 23, 2021","14,707.80","14,782.25","14,854.50","14,651.85","744.09B","0.22%"
"Feb 22, 2021","14,675.70","14,999.05","15,010.10","14,635.05","609.90B","-2.04%"
"Feb 19, 2021","14,981.75","15,074.80","15,144.05","14,898.20","712.21B","-0.91%"
"Feb 18, 2021","15,118.95","15,238.70","15,250.75","15,078.05","770.63B","-0.59%"
"Feb 17, 2021","15,208.90","15,279.90","15,314.30","15,170.75","504.77B","-0.68%"
"Feb 16, 2021","15,313.45","15,371.45","15,431.75","15,242.20","648.55B","-0.01%"
"Feb 15, 2021","15,314.70","15,270.30","15,340.15","15,243.40","455.96B","1.00%"
"Feb 12, 2021","15,163.30","15,186.20","15,243.50","15,081.00","571.81B","-0.07%"
"Feb 11, 2021","15,173.30","15,073.25","15,188.50","15,065.40","500.12B","0.44%"
"Feb 10, 2021","15,106.50","15,119.05","15,168.25","14,977.20","624.79B","-0.02%"
